2017-04-27 10:34:11.203 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\workspace\JavaProject_lwq_002\jdbctemplate\target\classes\applicationContext-jdbc.xml]
2017-04-27 10:34:11.259 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\workspace\JavaProject_lwq_002\jdbctemplate\target\classes\applicationContext-jedis.xml]
2017-04-27 10:34:11.444 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 334 ms
2017-04-27 10:34:11.495 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'Spring': initialization started
2017-04-27 10:34:11.499 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'Spring-servlet': startup date [Thu Apr 27 10:34:11 CST 2017]; parent: Root WebApplicationContext
2017-04-27 10:34:11.500 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [springmvc-servlet.xml]
2017-04-27 10:34:11.636 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-04-27 10:34:11.766 [main] INFO  org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/test] onto handler 'testController'
2017-04-27 10:34:11.766 [main] INFO  org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/test.*] onto handler 'testController'
2017-04-27 10:34:11.766 [main] INFO  org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/test/] onto handler 'testController'
2017-04-27 10:34:11.811 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2017-04-27 10:34:11.866 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'Spring': initialization completed in 371 ms
2017-04-27 10:41:43.387 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-04-27 10:41:43.454 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Thu Apr 27 10:41:43 CST 2017]; root of context hierarchy
2017-04-27 10:41:43.489 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\workspace\JavaProject_lwq_002\jdbctemplate\target\classes\applicationContext-jdbc.xml]
2017-04-27 10:41:43.545 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\workspace\JavaProject_lwq_002\jdbctemplate\target\classes\applicationContext-jedis.xml]
2017-04-27 10:41:43.737 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 348 ms
2017-04-27 10:41:43.788 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'Spring': initialization started
2017-04-27 10:41:43.793 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'Spring-servlet': startup date [Thu Apr 27 10:41:43 CST 2017]; parent: Root WebApplicationContext
2017-04-27 10:41:43.794 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [springmvc-servlet.xml]
2017-04-27 10:41:43.940 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-04-27 10:41:44.108 [main] INFO  org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/test] onto handler 'testController'
2017-04-27 10:41:44.108 [main] INFO  org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/test.*] onto handler 'testController'
2017-04-27 10:41:44.109 [main] INFO  org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/test/] onto handler 'testController'
2017-04-27 10:41:44.164 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2017-04-27 10:41:44.228 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'Spring': initialization completed in 440 ms
2017-04-27 10:47:27.132 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-04-27 10:47:27.199 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Thu Apr 27 10:47:27 CST 2017]; root of context hierarchy
2017-04-27 10:47:27.234 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\workspace\JavaProject_lwq_002\jdbctemplate\target\classes\applicationContext-jdbc.xml]
2017-04-27 10:47:27.291 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\workspace\JavaProject_lwq_002\jdbctemplate\target\classes\applicationContext-jedis.xml]
2017-04-27 10:47:27.488 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 354 ms
2017-04-27 10:47:27.539 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'Spring': initialization started
2017-04-27 10:47:27.543 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'Spring-servlet': startup date [Thu Apr 27 10:47:27 CST 2017]; parent: Root WebApplicationContext
2017-04-27 10:47:27.544 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [springmvc-servlet.xml]
2017-04-27 10:47:27.738 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-04-27 10:47:27.864 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/test],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.lwq.contorller.TestController.test(java.lang.String)
2017-04-27 10:47:28.178 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'Spring-servlet': startup date [Thu Apr 27 10:47:27 CST 2017]; parent: Root WebApplicationContext
2017-04-27 10:47:28.231 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'Spring-servlet': startup date [Thu Apr 27 10:47:27 CST 2017]; parent: Root WebApplicationContext
2017-04-27 10:47:28.345 [main] INFO  org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/test] onto handler 'testController'
2017-04-27 10:47:28.345 [main] INFO  org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/test.*] onto handler 'testController'
2017-04-27 10:47:28.345 [main] INFO  org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/test/] onto handler 'testController'
2017-04-27 10:47:28.391 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2017-04-27 10:47:28.415 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'Spring': initialization completed in 876 ms
2017-04-27 10:47:37.678 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:47:37.678 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:47:37.679 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:47:37.679 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:47:37.680 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:47:37.680 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:47:37.681 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:47:37.681 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:27.077 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:27.077 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:27.078 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:27.078 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:27.079 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:27.079 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:27.079 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:27.079 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:43.799 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:43.800 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:43.800 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:43.801 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:43.801 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:43.801 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:43.802 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:48:43.802 [http-8080-2] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:49:49.590 [http-8080-1] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:49:49.590 [http-8080-1] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:49:49.590 [http-8080-1] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:49:49.590 [http-8080-1] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:49:49.591 [http-8080-1] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:49:49.591 [http-8080-1] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:49:49.593 [http-8080-1] INFO  net.sf.json.JSONObject - Property 'timezoneOffset' of class java.util.Date has no write method. SKIPPED.
2017-04-27 10:49:49.593 [http-8080-1] INFO  net.sf.json.JSONObject - Property 'day' of class java.util.Date has no write method. SKIPPED.
2017-04-27 13:03:52.845 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-04-27 13:03:52.921 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Thu Apr 27 13:03:52 CST 2017]; root of context hierarchy
2017-04-27 13:03:52.957 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\workspace\JavaProject_lwq_002\jdbctemplate\target\classes\applicationContext-jdbc.xml]
2017-04-27 13:03:53.014 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\workspace\JavaProject_lwq_002\jdbctemplate\target\classes\applicationContext-jedis.xml]
2017-04-27 13:03:53.212 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 365 ms
2017-04-27 13:03:53.263 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'Spring': initialization started
2017-04-27 13:03:53.268 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'Spring-servlet': startup date [Thu Apr 27 13:03:53 CST 2017]; parent: Root WebApplicationContext
